SynapseID,FromSegmentID,ToSegmentID,xPosition,yPosition,zPosition
308,16395,16670,18.7,46.22,31.92
309,14008,10017,30.22,54.26,31.92
310,13764,10016,34.44,52.61,32.07
311,16193,16568,19.22,50.21,32.07
312,14130,13181,39.19,56.23,32.01
313,14407,10016,40.3,57.1,32.07
314,16226,10018,17.57,48.6,32.04
315,14070,10018,29.64,53.78,31.98
316,14220,13225,41.28,54.24,32.04
317,15757,16211,16.99,45.53,31.95
318,16413,16227,18.12,44.28,32.07
319,16583,16234,20.18,47.74,32.22
320,14187,14812,26.4,51.6,32.01
321,13837,10017,32.02,52.66,32.22
322,14093,13199,32.83,55.06,32.1
323,16299,14805,17.78,46.9,32.07
324,13983,13204,38.78,51.91,32.1
325,14219,10018,40.1,56.42,32.07
326,14110,10018,30.74,54.79,32.07
327,14014,13182,32.54,49.94,32.04
328,13837,13182,32.76,51.94,32.07
329,13926,16603,25.66,48.91,32.07
330,13883,13210,34.06,52.08,32.13
331,14097,13154,38.38,57.12,32.07
332,14097,13200,38.74,56.88,32.13
333,13954,10016,39.65,55.68,32.13
334,14152,10016,40.25,55.92,32.25
335,15757,10016,17.76,46.22,32.22
336,16372,14805,19.75,47.45,32.13
337,16213,16361,20.33,45.19,32.19
338,14014,10016,31.37,49.68,32.16
339,13870,13187,31.42,51.43,32.1
340,14098,10018,35.64,56.23,32.16
341,14220,14818,41.16,54.84,32.07
342,16422,16639,20.81,46.46,32.13
343,13751,13217,26.33,53.42,32.16
344,14187,13220,26.62,51.84,32.13
345,14008,13207,27.89,54.12,32.31
346,14114,13212,32.83,51.53,32.13
347,16339,10016,17.06,44.88,32.19
348,16159,10017,22.3,45.79,32.19
349,13692,13191,33.14,53.35,32.25
350,13722,10016,34.3,51.74,32.16
351,13961,13211,36.43,50.98,32.19
352,13952,13202,38.11,55.46,32.22
353,14452,10018,22.54,52.34,32.46
354,16349,10017,23.54,46.63,32.25
355,14452,10016,24.84,53.04,32.34
356,16433,13218,25.22,51.72,32.25
357,16337,10018,23.04,48.29,32.28
358,16349,15502,23.3,46.87,32.58
359,13926,10017,25.1,48.98,32.31
360,14395,13533,39.7,57.62,32.22
361,16542,16576,18.22,48.19,32.22
362,14208,10017,27.29,50.38,32.22
363,13880,10018,27.72,51.55,32.31
364,13897,13187,28.68,49.34,32.25
365,13870,10016,31.15,51.46,32.28
366,14073,13506,31.54,54.84,32.28
367,13923,10016,35.04,50.95,32.31
368,13854,10016,36.26,52.49,32.31
369,16696,12531,17.81,43.58,32.43
370,16609,16361,20.23,50.95,32.52
371,14091,10016,34.73,51.31,32.25
372,13874,14805,30.86,49.99,32.28
373,14395,14120,39.29,57.67,32.34
374,14129,13506,39.86,52.32,32.31
375,15809,10017,22.3,48.72,32.4
376,16282,10017,24.24,50.11,32.37
377,13810,10016,24.24,51.17,32.37
378,16297,10017,24.72,48.36,32.46
379,14137,14808,29.16,49.22,32.37
380,16510,10018,21.65,48.91,32.43
381,16297,10018,24.19,49.2,32.4
382,13689,10018,29.3,53.69,32.37
383,13761,13192,29.35,50.62,32.4
384,14024,13181,35.74,51.53,32.37
385,16594,16576,21.46,45.46,32.49
386,14464,15502,25.8,49.42,32.34
387,13739,13191,32.78,53.11,32.46
388,13859,13154,37.46,54.6,32.4
389,14016,13206,26.69,53.4,32.43
390,14014,10017,27.89,50.14,32.46
391,13722,10016,34.82,51.91,32.4
392,13773,13182,35.38,51.98,32.52
393,14004,13154,38.35,57.34,32.55
394,14152,10016,40.8,55.68,32.55
395,14607,10016,41.71,52.66,32.46
396,15757,10016,21.98,46.97,32.58
397,16550,10018,23.64,50.64,32.49
398,14013,10018,26.5,50.93,32.46
399,14008,13217,28.1,54.55,32.46
400,14115,13182,33.94,49.9,32.52
401,13842,13188,35.83,52.75,32.49
402,14002,10017,39.98,52.92,32.58
403,16232,16178,18,45.1,32.52
404,16478,10018,18.53,45.77,32.49
405,16293,14805,20.09,44.59,32.46
406,14455,10016,26.23,49.85,32.52
407,14014,10016,27.58,50.38,32.46
408,13739,13187,31.03,50.57,32.67
409,13842,13182,35.76,52.32,32.46
410,13775,13154,39.67,54.5,32.55
411,16542,10016,18.17,47.71,32.58
412,16337,16192,20.76,45.86,32.52
413,14188,10014,25.49,51.34,32.55
414,16459,10018,26.02,48.62,32.55
415,13773,13183,32.35,50.81,32.61
416,14156,13196,37.54,50.86,32.7
417,13871,13187,28.94,50.74,32.61
418,13833,13190,36.79,54.58,32.58
419,16566,16670,19.27,43.94,32.73
420,16389,14805,22.01,49.18,32.61
421,13859,14812,23.57,51.41,32.61
422,14159,13198,29.38,49.27,32.73
423,13863,13205,36.94,55.78,32.73
424,14002,10017,40.49,53.06,32.73
425,16337,16178,21.24,45.94,32.61
426,14234,10017,26.35,52.27,32.73
427,14159,13212,30.07,49.22,32.61
428,13761,14808,30.53,49.82,32.61
429,14239,13190,37.08,51.07,32.67
