synid,voxelcount,prob,neuron,type
202,317,0.4384858044164038,15129,2
203,220,0.5136363636363637,15502,2
203,220,0.004545454545454545,14763,0
203,220,0.4818181818181818,15976,1
204,762,0.5997375328083989,14801,2
204,762,0.400262467191601,15298,1
205,181,0.5027624309392266,14801,2
205,181,0.4972375690607735,15397,1
206,127,0.41732283464566927,15393,1
206,127,0.5826771653543307,14651,2
207,975,0.4707692307692308,14801,2
207,975,0.5292307692307693,15231,1
208,331,0.4350453172205438,14050,1
208,331,0.5649546827794562,13189,2
209,1220,0.03360655737704918,15217,2
209,1220,0.5057377049180328,13229,2
209,1220,0.460655737704918,15267,1
210,545,0.5211009174311927,10014,2
210,545,0.47889908256880737,15683,1
211,107,0.5233644859813084,13225,2
211,107,0.4766355140186916,15692,1
212,190,0.5157894736842106,15344,1
212,190,0.4842105263157895,13189,2
213,91,0.7032967032967034,15577,2
213,91,0.2967032967032967,15765,1
214,199,0.6231155778894473,13861,1
214,199,0.3768844221105528,13213,2
215,104,0.4326923076923077,13189,2
215,104,0.5673076923076923,15749,1
216,2298,0.0004351610095735422,14763,0
216,2298,0.47476066144473456,15233,1
216,2298,0.5248041775456919,15599,2
217,621,0.5024154589371981,10014,2
217,621,0.4975845410628019,15797,1
218,306,0.43137254901960786,10014,2
218,306,0.5686274509803921,16042,1
219,212,0.5660377358490566,13772,1
219,212,0.4339622641509434,15488,2
220,223,0.5381165919282511,14504,1
220,223,0.4618834080717489,14801,2
221,154,0.6298701298701299,15316,1
221,154,0.37012987012987014,15531,2
222,391,0.43478260869565216,10018,2
222,391,0.0025575447570332483,16174,0
222,391,0.5626598465473146,16179,1
223,1705,0.002346041055718475,16230,1
223,1705,0.4909090909090909,16258,2
223,1705,0.007038123167155425,16550,1
223,1705,0.4997067448680352,16675,1
224,168,0.47619047619047616,10018,2
224,168,0.08333333333333333,16257,0
224,168,0.44047619047619047,16523,1
225,48,0.9166666666666666,10017,2
225,48,0.08333333333333333,14745,1
226,182,0.36813186813186816,14188,1
226,182,0.6098901098901099,16555,2
226,182,0.02197802197802198,16615,0
227,137,0.15328467153284672,10017,2
227,137,0.043795620437956206,16225,1
227,137,0.8029197080291971,16430,1
228,212,0.4669811320754717,13198,2
228,212,0.014150943396226415,14345,0
228,212,0.45754716981132076,14575,1
228,212,0.06132075471698113,14778,1
229,668,0.44461077844311375,10017,2
229,668,0.5553892215568862,13834,1
230,597,0.0016750418760469012,14805,2
230,597,0.34673366834170855,16281,1
230,597,0.6197654941373534,16407,2
230,597,0.01507537688442211,16451,1
230,597,0.01675041876046901,16643,1
231,75,0.5733333333333334,13182,2
231,75,0.4266666666666667,13836,1
232,444,0.0022522522522522522,14345,0
232,444,0.006756756756756757,14683,1
232,444,0.6554054054054054,14805,2
232,444,0.3355855855855856,16666,1
233,352,0.008522727272727272,14345,0
233,352,0.5454545454545454,14805,2
233,352,0.008522727272727272,15502,2
233,352,0.4375,16537,1
234,38,0.2631578947368421,10016,2
234,38,0.7368421052631579,14259,1
235,1058,0.55765595463138,13211,2
235,1058,0.44234404536862004,14119,1
236,279,0.6881720430107527,10017,2
236,279,0.3118279569892473,14099,1
237,63,0.5079365079365079,14120,2
237,63,0.49206349206349204,14553,1
238,259,0.5405405405405406,14188,1
238,259,0.015444015444015444,14468,1
238,259,0.444015444015444,16359,2
239,445,0.49213483146067416,13191,2
239,445,0.5078651685393258,14061,1
240,852,0.5856807511737089,13203,2
240,852,0.41431924882629106,14093,1
241,47,0.10638297872340426,14068,1
241,47,0.3617021276595745,14455,1
241,47,0.5319148936170213,14538,2
242,11,0.36363636363636365,13154,2
242,11,0.6363636363636364,14239,1
243,136,0.5147058823529411,13506,2
243,136,0.4852941176470588,13836,1
244,163,0.4662576687116564,13199,2
244,163,0.5337423312883436,13837,1
245,115,0.24347826086956523,16236,1
245,115,0.26956521739130435,16260,1
245,115,0.48695652173913045,16576,2
246,593,0.5784148397976391,10016,2
246,593,0.42158516020236086,13952,1
247,236,0.4449152542372881,14805,2
247,236,0.5550847457627118,16389,1
248,291,0.4054982817869416,16176,1
248,291,0.010309278350515464,16187,1
248,291,0.5807560137457045,16407,2
248,291,0.003436426116838488,16666,1
249,389,0.5012853470437018,13154,2
249,389,0.4987146529562982,13754,1
250,261,0.5517241379310345,10016,2
250,261,0.4482758620689655,13752,1
251,372,0.28225806451612906,10016,2
251,372,0.717741935483871,14555,1
252,29,0.5862068965517241,14812,2
252,29,0.41379310344827586,13897,1
253,30,0.5333333333333333,14093,1
253,30,0.4666666666666667,14805,2
254,509,0.03143418467583497,16257,0
254,509,0.518664047151277,16318,1
254,509,0.449901768172888,16573,2
255,153,0.37254901960784315,13198,2
255,153,0.13725490196078433,14437,0
255,153,0.49019607843137253,14778,1
256,248,0.46774193548387094,14805,2
256,248,0.532258064516129,13896,1
257,200,0.42,13212,2
257,200,0.58,14545,1
258,449,0.5278396436525612,13199,2
258,449,0.47216035634743875,13761,1
259,246,0.5203252032520326,10016,2
259,246,0.4796747967479675,16349,1
260,105,0.29523809523809524,10017,2
260,105,0.18095238095238095,13206,2
260,105,0.5238095238095238,13897,1
261,122,0.4918032786885246,13192,2
261,122,0.5081967213114754,14453,1
262,72,0.5277777777777778,13960,1
262,72,0.4722222222222222,14803,2
263,420,0.4238095238095238,13222,2
263,420,0.5761904761904761,13752,1
264,25,0.24,10018,2
264,25,0.76,14232,1
265,358,0.4720670391061452,13212,2
265,358,0.5279329608938548,13810,1
266,358,0.505586592178771,13196,2
266,358,0.49441340782122906,14058,1
267,317,0.416403785488959,16339,1
267,317,0.583596214511041,16497,2
268,89,0.6067415730337079,13154,2
268,89,0.39325842696629215,13836,1
269,353,0.45892351274787535,13212,2
269,353,0.5410764872521246,14092,1
270,253,0.35177865612648224,10017,2
270,253,0.6482213438735178,16298,1
271,579,0.5215889464594128,15502,2
271,579,0.4784110535405872,16372,1
272,277,0.4151624548736462,13192,2
272,277,0.5848375451263538,14273,1
273,97,0.15463917525773196,10018,2
273,97,0.41237113402061853,10018,2
273,97,0.16494845360824742,14207,1
273,97,0.07216494845360824,14812,2
273,97,0.18556701030927836,14207,1
273,97,0.010309278350515464,16433,1
274,212,0.47641509433962265,10017,2
274,212,0.0047169811320754715,16179,1
274,212,0.5188679245283019,16289,1
275,207,0.463768115942029,16178,2
275,207,0.5362318840579711,16236,1
276,140,0.5071428571428571,10017,2
276,140,0.014285714285714285,13187,2
276,140,0.007142857142857143,13897,1
276,140,0.4714285714285714,14462,1
277,267,0.40823970037453183,10016,2
277,267,0.5917602996254682,13880,1
278,105,0.14285714285714285,10018,2
278,105,0.2,10018,2
278,105,0.638095238095238,16307,1
278,105,0.01904761904761905,16625,1
279,404,0.452970297029703,13506,2
279,404,0.5470297029702971,14097,1
280,165,0.46060606060606063,13182,2
280,165,0.5393939393939394,13720,1
281,700,0.3842857142857143,13181,2
281,700,0.6157142857142858,14004,1
282,864,0.5543981481481481,10017,2
282,864,0.44560185185185186,14220,1
283,197,0.38071065989847713,14812,2
283,197,0.6192893401015228,16339,1
284,2828,0.5417256011315418,13202,2
284,2828,0.4582743988684583,14001,1
285,6,0.8333333333333334,14804,2
285,6,0.16666666666666666,14159,1
286,78,0.5,10016,2
286,78,0.5,15074,1
287,355,0.4732394366197183,15502,2
287,355,0.0028169014084507044,16257,0
287,355,0.005633802816901409,16497,2
287,355,0.5183098591549296,16666,1
288,78,0.32051282051282054,13192,2
288,78,0.6794871794871795,13737,1
289,78,0.6153846153846154,13542,2
289,78,0.38461538461538464,13875,1
290,236,0.6016949152542372,13192,2
290,236,0.3983050847457627,13685,1
291,86,0.5581395348837209,13192,2
291,86,0.011627906976744186,14200,1
291,86,0.43023255813953487,14259,1
292,241,0.4149377593360996,13210,2
292,241,0.5850622406639004,13883,1
293,154,0.5454545454545454,14803,2
293,154,0.45454545454545453,13834,1
294,577,0.4662045060658579,14805,2
294,577,0.5337954939341422,16666,1
295,337,0.486646884272997,10018,2
295,337,0.5133531157270029,16628,1
296,70,0.22857142857142856,16263,2
296,70,0.014285714285714285,16338,1
296,70,0.7142857142857143,16581,1
296,70,0.04285714285714286,16633,1
297,311,0.6045016077170418,16178,2
297,311,0.39228295819935693,16327,1
297,311,0.003215434083601286,16337,1
298,172,0.36627906976744184,10018,2
298,172,0.6337209302325582,14016,1
299,311,0.4887459807073955,13154,2
299,311,0.5112540192926045,13725,1
300,472,0.4385593220338983,13200,2
300,472,0.5614406779661016,14152,1
301,175,0.56,14016,1
301,175,0.44,16497,2
302,102,0.45098039215686275,13212,2
302,102,0.5490196078431373,13932,1
303,267,0.38202247191011235,14805,2
303,267,0.6179775280898876,13724,1
304,2486,0.5096540627514079,13506,2
304,2486,0.4903459372485921,13692,1
305,152,0.8552631578947368,16339,1
305,152,0.14473684210526316,16576,2
306,48,0.4583333333333333,14805,2
306,48,0.5416666666666666,13723,1
307,232,0.5603448275862069,10017,2
307,232,0.4396551724137931,13739,1
308,255,0.5176470588235295,16395,1
308,255,0.00392156862745098,16479,1
308,255,0.00784313725490196,16556,0
308,255,0.47058823529411764,16670,2
309,155,0.4967741935483871,10017,2
309,155,0.5032258064516129,14008,1
310,808,0.620049504950495,10016,2
310,808,0.37995049504950495,13764,1
311,705,0.44680851063829785,16193,1
311,705,0.5531914893617021,16568,2
312,497,0.48893360160965793,13181,2
312,497,0.5110663983903421,14130,1
313,828,0.463768115942029,10016,2
313,828,0.5362318840579711,14407,1
314,450,0.4488888888888889,10018,2
314,450,0.5488888888888889,16226,1
314,450,0.0022222222222222222,16435,1
315,87,0.4367816091954023,10018,2
315,87,0.5632183908045977,14070,1
316,432,0.5208333333333334,14220,1
316,432,0.4791666666666667,13225,2
317,168,0.44047619047619047,15757,1
317,168,0.35714285714285715,16211,2
317,168,0.20238095238095238,16402,1
318,259,0.6447876447876448,16227,2
318,259,0.007722007722007722,16411,0
318,259,0.3474903474903475,16413,1
319,1113,0.0071877807726864335,14061,1
319,1113,0.5408805031446541,16234,2
319,1113,0.4519317160826595,16583,1
320,117,0.46153846153846156,14187,1
320,117,0.5384615384615384,14812,2
321,1596,0.5175438596491229,10017,2
321,1596,0.4824561403508772,13837,1
322,758,0.5765171503957783,13199,2
322,758,0.4234828496042216,14093,1
323,405,0.5259259259259259,14805,2
323,405,0.01728395061728395,16257,0
323,405,0.4567901234567901,16299,1
324,270,0.4666666666666667,13204,2
324,270,0.5333333333333333,13983,1
325,200,0.43,10018,2
325,200,0.57,14219,1
326,58,0.3620689655172414,10018,2
326,58,0.6379310344827587,14110,1
327,244,0.13114754098360656,14806,2
327,244,0.28688524590163933,13182,2
327,244,0.5819672131147541,14014,1
328,68,0.47058823529411764,13182,2
328,68,0.014705882352941176,14262,0
328,68,0.5147058823529411,13837,1
329,247,0.5425101214574899,13926,1
